theta_H,phi_H,theta_V,phi_V,R,G,B
0.108574,1.565936,0.464392,3.274838,4.344739,4.253273,4.024608
0.435919,1.612590,0.076727,5.318148,1.413826,1.384062,1.309652
0.442098,1.678863,0.726598,5.363580,3.269194,3.204629,3.043217
0.158567,5.119489,0.456733,0.662382,0.708111,0.693204,0.655936
0.720830,4.501034,1.123545,4.817328,0.071315,0.069813,0.066060
0.696132,0.032815,0.601797,5.343594,0.000346,0.000339,0.000321
0.853290,0.776561,0.716573,0.686090,0.000623,0.000610,0.000577
0.191916,4.348022,0.361533,3.025400,0.492149,0.481788,0.455886
0.701534,2.560066,0.390447,3.131223,0.000586,0.000574,0.000543
0.389688,1.169627,1.001501,0.633594,0.069931,0.068459,0.064781
0.413456,6.218642,0.393383,4.828543,0.001402,0.001373,0.001299
0.092319,1.910315,1.044452,5.783017,9.155091,8.973405,8.519189
0.164580,1.753675,0.228730,6.109311,1.937879,1.897082,1.795088
0.460246,6.262128,0.541658,3.713883,0.003531,0.003458,0.003275
0.298295,4.675400,1.254160,5.532701,7.624605,7.470473,7.085144
0.287811,4.782251,0.880697,3.746283,3.127879,3.062144,2.897806
0.603699,2.686467,0.903345,2.482473,0.000575,0.000563,0.000533
0.184254,1.379315,0.579438,3.099598,2.183060,2.137114,2.022247
0.110699,1.801902,0.569692,5.050367,3.506303,3.432528,3.248091
1.146362,6.276379,1.321715,0.292552,0.000244,0.000239,0.000226
0.633683,5.258825,1.003297,5.429348,0.004332,0.004240,0.004012
0.085326,1.598717,0.796994,2.991445,7.021419,6.873935,6.505224
0.423397,0.703474,0.899586,1.211609,0.003785,0.003706,0.003507
0.142684,1.278891,0.428898,4.953250,1.670483,1.635318,1.547405
0.520917,1.487011,0.497482,2.820228,0.844865,0.827082,0.782625
0.259458,4.819184,1.044639,2.611964,11.237094,11.028470,10.506912
0.115229,4.643490,0.404789,2.992640,3.854767,3.773615,3.570733
